ID;Courtyard;Vijverhof;Zomerhof;Height;sun;Size
Student_free_time;6;4;-3;-5;0;33
Work;5;-1;5;0;-5;678
Day_to_day;0;1;10;-7;0;150
Elderly;4;1;-1;-10;2;375
Starters;7;0;-2;5;3;675
Library;0;4;-2;-7;0;48
Student_housing;2;5;4;1;2;225
Cinema;0;-2;10;-1;0;105
